File Name: 	eil101.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 3154.0 	 775.093662285552 	 1.1949628810875808
2	 2 	 50 	 10000 	 3042.0 	 743.4868094332255 	 1.1462345560034144
2	 2 	 50 	 10000 	 3072.0 	 767.0467673546889 	 1.1825569729783092
2	 2 	 50 	 10000 	 3066.0 	 784.9602021206971 	 1.210174138051035
2	 2 	 50 	 10000 	 3075.0 	 768.2067208112281 	 1.1843452746917646
2	 2 	 50 	 10000 	 3064.0 	 798.1662280669709 	 1.230533884982707
2	 2 	 50 	 10000 	 3065.0 	 807.8893409280369 	 1.2455240203985203
2	 2 	 50 	 10000 	 3058.0 	 755.4362262990063 	 1.1646569871237316
2	 2 	 50 	 10000 	 3075.0 	 743.8026534213201 	 1.1467214930799927
2	 2 	 50 	 10000 	 3065.0 	 746.4871932184393 	 1.150860251486171
2	 2 	 50 	 10000 	 3097.0 	 788.4532598640752 	 1.2155593895992467
2	 2 	 50 	 10000 	 3075.0 	 760.2313003724552 	 1.1720495588974973
2	 2 	 50 	 10000 	 3080.0 	 786.2068501470746 	 1.2120960968926406
2	 2 	 50 	 10000 	 3060.0 	 787.468150466941 	 1.2140406451936805
2	 2 	 50 	 10000 	 3060.0 	 772.7917091135681 	 1.1914139569660605
2	 2 	 50 	 10000 	 3066.0 	 799.4065290111005 	 1.23244605851957
2	 2 	 50 	 10000 	 3071.0 	 783.3088467552951 	 1.2076282413921442
2	 2 	 50 	 10000 	 3073.0 	 775.2535231782476 	 1.1952093388283722
2	 2 	 50 	 10000 	 3071.0 	 787.3446380256757 	 1.2138502259065078
2	 2 	 50 	 10000 	 3065.0 	 777.0987657393741 	 1.1980541516225411
2	 2 	 50 	 10000 	 3063.0 	 820.9007424636924 	 1.2655837146297784
2	 2 	 50 	 10000 	 3084.0 	 782.8992334678766 	 1.2069967400680046
2	 2 	 50 	 10000 	 3076.0 	 749.3915027105136 	 1.155337829109481
2	 2 	 50 	 10000 	 3074.0 	 749.8663026891971 	 1.1560698288381266
2	 2 	 50 	 10000 	 3059.0 	 764.1713609730425 	 1.1781239553169625
2	 2 	 50 	 10000 	 3078.0 	 749.3361907696407 	 1.1552525546201642
2	 2 	 50 	 10000 	 3061.0 	 741.2448221012011 	 1.1427780812933288
2	 2 	 50 	 10000 	 3076.0 	 771.0673347869399 	 1.188755486882142
2	 2 	 50 	 10000 	 3084.0 	 746.6434800370132 	 1.1511011990723614
2	 2 	 50 	 10000 	 3058.0 	 767.7778999528618 	 1.1836841610311615
File Name: 	eil51.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 1493.0 	 499.2379228053498 	 1.1448676060436924
2	 2 	 50 	 10000 	 1499.0 	 464.42006761165635 	 1.0650222403327192
2	 2 	 50 	 10000 	 1489.0 	 466.08934839602694 	 1.0688502858559399
2	 2 	 50 	 10000 	 1507.0 	 481.92018597821084 	 1.1051540446379986
2	 2 	 50 	 10000 	 1491.0 	 462.7869183914315 	 1.0612770528125797
2	 2 	 50 	 10000 	 1487.0 	 499.74375146880493 	 1.1460275877368777
2	 2 	 50 	 10000 	 1491.0 	 478.48426497174177 	 1.0972746859644285
2	 2 	 50 	 10000 	 1491.0 	 466.42462314806676 	 1.0696191481262134
2	 2 	 50 	 10000 	 1492.0 	 476.63908714004486 	 1.0930432679763293
2	 2 	 50 	 10000 	 1496.0 	 457.5695504111488 	 1.0493124256947712
2	 2 	 50 	 10000 	 1494.0 	 451.62177233962103 	 1.0356727999152124
2	 2 	 50 	 10000 	 1492.0 	 469.12642895620246 	 1.0758150114736404
2	 2 	 50 	 10000 	 1495.0 	 459.1046388706161 	 1.0528327372924557
2	 2 	 50 	 10000 	 1487.0 	 472.7621653710333 	 1.0841525929259135
2	 2 	 50 	 10000 	 1491.0 	 465.9079718231553 	 1.0684343475762335
2	 2 	 50 	 10000 	 1490.0 	 462.77448051547253 	 1.0612485298967054
2	 2 	 50 	 10000 	 1488.0 	 451.86071809965523 	 1.0362207576078641
2	 2 	 50 	 10000 	 1498.0 	 467.08521788117974 	 1.0711340440828634
2	 2 	 50 	 10000 	 1489.0 	 471.6468837349136 	 1.0815949951183714
