File Name: 	eil101.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	242.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	118.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	113.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	278.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	272.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	273.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	539.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	526.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	504.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1087.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1045.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1005.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	273.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	262.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	259.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	680.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	660.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	674.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1354.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1324.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1375.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2713.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2633.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2642.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	549.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	532.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	582.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1354.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1324.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1334.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2719.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2633.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2568.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5490.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5293.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5081.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1102.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1070.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1108.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2721.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2651.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2683.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5435.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5293.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5147.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10872.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10557.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	12378.0ms
File Name: 	eil51.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	66.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	66.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	61.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	163.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	164.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	155.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	321.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	329.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	312.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	644.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	656.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	629.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	160.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	164.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	157.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	405.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	412.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	381.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	803.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	815.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	791.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1603.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1648.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1534.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	322.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	330.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	310.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	804.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	826.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	775.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1610.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1641.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1548.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	3202.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	3298.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	3113.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	650.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	663.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	644.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1621.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1653.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1600.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	3240.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	3291.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	3191.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	6473.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	6619.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	6390.0ms
File Name: 	eil76.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	87.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	88.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	85.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	219.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	218.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	205.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	436.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	428.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	412.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	882.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	854.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	817.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	224.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	221.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	206.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	547.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	545.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	504.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1084.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1074.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1012.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2177.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2142.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2011.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	440.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	433.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	410.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1083.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1082.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1016.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2184.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2151.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2028.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	4354.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	4301.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	4097.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	883.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	888.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	862.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2186.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2151.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2095.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	4391.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	4324.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	4174.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	8761.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	8655.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	8295.0ms
File Name: 	kroA100.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	110.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	107.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	104.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	277.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	271.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	252.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	535.0ms
